

Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0032, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0018, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0025, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0014, Accuracy: 420/425 (99%)


 The epoch is 150, average recall: 0.7931, average precision: 0.7797,average F1: 0.7863, average accuracy: 0.7881, average AUC: 0.8466
Train set: Average loss: 0.0020, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0022, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0018, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0017, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 419/425 (99%)


 The epoch is 160, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8336
Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0026, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


 The epoch is 170, average recall: 0.7586, average precision: 0.7333,average F1: 0.7458, average accuracy: 0.7458, average AUC: 0.8216
Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0024, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0010, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


